iter	Logloss
0	0.6805959223
1	0.6692763294
2	0.6600231487
3	0.6525852569
4	0.6461372683
5	0.6408044104
6	0.636042749
7	0.6316373741
8	0.6277259608
9	0.6245076357
10	0.6218077887
11	0.6190795835
12	0.6170035875
13	0.6148738048
14	0.613004606
15	0.6110684714
16	0.6095583061
17	0.6080469928
18	0.6064913203
19	0.6053051309
20	0.6039459773
21	0.6024967514
22	0.6012800954
23	0.6005125604
24	0.5994375767
25	0.598595929
26	0.5977041173
27	0.5968121678
28	0.596314826
29	0.5954295025
30	0.5946771712
31	0.5940421964
32	0.5932107267
33	0.5924928631
34	0.5917911536
35	0.5912150315
36	0.5905802753
37	0.5901014271
38	0.5896236453
39	0.5890320008
40	0.5885080428
41	0.5879120374
42	0.5874993073
43	0.5869877997
44	0.5865892111
45	0.5860635158
46	0.5856410869
47	0.5852627925
48	0.5848730766
49	0.584515219
50	0.5840997953
51	0.5837360044
52	0.5833181513
53	0.5829905685
54	0.5826259596
55	0.5823961166
56	0.5820516832
57	0.5817733764
58	0.5813961187
59	0.5809998415
60	0.5806880733
61	0.5804027463
62	0.5799939859
63	0.5797416122
64	0.5793167157
65	0.5789809263
66	0.5787496762
67	0.5785095927
68	0.5782200959
69	0.5778846477
70	0.5774422136
71	0.5772326687
72	0.5769167097
73	0.576708648
74	0.5764662965
75	0.576249943
76	0.5758680664
77	0.5756089281
78	0.5753974482
79	0.5751696466
80	0.5747978962
81	0.5746300996
82	0.5743346108
83	0.5741763091
84	0.5739385387
85	0.5736433617
86	0.573419609
87	0.5732480733
88	0.5730582426
89	0.5727789514
90	0.5725971368
91	0.5723004109
92	0.5721059422
93	0.5718575938
94	0.5715783344
95	0.5713701023
96	0.5711545733
97	0.5709645686
98	0.5707127984
99	0.5703927363
100	0.5702308835
101	0.5699642076
102	0.5697724983
103	0.5695881593
104	0.5693716482
105	0.5690403694
106	0.5688702801
107	0.5687090777
108	0.5686051975
109	0.5683449579
110	0.5681350914
111	0.5678547927
112	0.5675860587
113	0.5674256475
114	0.5672771448
115	0.5670677811
116	0.5667956029
117	0.5665279543
118	0.5663838177
119	0.5662136154
120	0.5660104566
121	0.5658441836
122	0.565581311
123	0.5654347614
124	0.5652171936
125	0.5649274572
126	0.5647442496
127	0.5645395333
128	0.5642763433
129	0.5640308883
130	0.5637937395
131	0.5635420979
132	0.5633281182
133	0.5629930021
134	0.5627480109
135	0.5624446199
136	0.5622106764
137	0.5619866627
138	0.5618262112
139	0.5615554173
140	0.5613062172
141	0.5610320877
142	0.56071908
143	0.5605515989
144	0.5603487
145	0.5600987472
146	0.5598684995
147	0.559652477
148	0.5594433128
149	0.5591420089
150	0.5588727938
151	0.5585990086
152	0.5583485119
153	0.5581361732
154	0.5578489807
155	0.5576643253
156	0.5574103466
157	0.557156235
158	0.5569704012
159	0.556782424
160	0.5565552905
161	0.5563066752
162	0.556061427
163	0.5558227309
164	0.5555540221
165	0.5553171244
166	0.5551001286
167	0.5548351101
168	0.5546109021
169	0.5543942815
170	0.5541825497
171	0.5539625912
172	0.5537601022
173	0.5535445068
174	0.5532984176
175	0.5530729586
176	0.5527900547
177	0.5525787764
178	0.5523214887
179	0.5521353701
180	0.5518862579
181	0.5516562745
182	0.5514405992
183	0.5512738908
184	0.5510337793
185	0.5507849335
186	0.5506311605
187	0.5504310549
188	0.5502026809
189	0.5500270171
190	0.549808789
191	0.5496435792
192	0.5493757582
193	0.5491029545
194	0.5488776076
195	0.5487048244
196	0.5485653321
197	0.5483509442
198	0.5481399942
199	0.5479199073
200	0.5476812857
201	0.5474902128
202	0.5472582443
203	0.5470853168
204	0.5468693547
205	0.5466290257
206	0.54645
207	0.5462415153
208	0.546020889
209	0.5458718714
210	0.5456854133
211	0.5454944615
212	0.5453178035
213	0.5451254083
214	0.5449879772
215	0.5447538748
216	0.5445136666
217	0.5442529584
218	0.5440287965
219	0.5438313224
220	0.5436036079
221	0.5433931448
222	0.5431728462
223	0.543015297
224	0.5428001494
225	0.5426285605
226	0.54240951
227	0.5422323744
228	0.5420135903
229	0.5417939431
230	0.5416164409
231	0.541384129
232	0.5412555372
233	0.5410892255
234	0.5408932327
235	0.540695429
236	0.5404844495
237	0.5402869741
238	0.5401420881
239	0.5399502772
240	0.5397634065
241	0.5396351365
242	0.5394761404
243	0.5393002928
244	0.5391043878
245	0.5389274391
246	0.5387232947
247	0.5385296989
248	0.5383280381
249	0.538154931
250	0.5379801848
251	0.537772693
252	0.5376474992
253	0.5375059325
254	0.537332277
255	0.5371750681
256	0.5370225424
257	0.5368535448
258	0.536707347
259	0.536537421
260	0.5363527831
261	0.5361956358
262	0.5359755413
263	0.5357703707
264	0.5356105483
265	0.5354527828
266	0.5352602132
267	0.5350644927
268	0.5348728621
269	0.5347092344
270	0.5345754153
271	0.5343853576
272	0.5342650526
273	0.5341069619
274	0.5339250975
275	0.5337268615
276	0.5335270028
277	0.5333389312
278	0.5331447998
279	0.5329929696
280	0.5327739206
281	0.5325933607
282	0.5324503474
283	0.5322750743
284	0.5320643027
285	0.5318803067
286	0.5317348181
287	0.5315484549
288	0.5313635424
289	0.5311833346
290	0.530978925
291	0.5308037847
292	0.5306542446
293	0.5304882696
294	0.5303583796
295	0.5301822257
296	0.5301081006
297	0.5299323549
298	0.5297671004
299	0.5295958469
300	0.5294510774
301	0.5292850389
302	0.5291160589
303	0.5289306742
304	0.5287491693
305	0.5286075574
306	0.5284214138
307	0.5282100141
308	0.5280404633
309	0.5279151866
310	0.5277247627
311	0.5275741955
312	0.5274262766
313	0.5272673285
314	0.5270691378
315	0.5268931545
316	0.5267522754
317	0.5265565432
318	0.5263970454
319	0.5262905383
320	0.5261347481
321	0.5259419143
322	0.5257619588
323	0.5255809757
324	0.5253820791
325	0.5251712812
326	0.5250530914
327	0.5249497305
328	0.5248385813
329	0.524651331
330	0.5245059507
331	0.5243146531
332	0.5241012424
